,Stock,Quantity,Month,MFundName,Fund Size
293,JBLB,4996,Ashwin 2078,LEMF,1250000000
294,JLI,7538,Ashwin 2078,LEMF,1250000000
295,KBL,9718,Ashwin 2078,LEMF,1250000000
296,LBBL,10460,Ashwin 2078,LEMF,1250000000
297,LGIL,8816,Ashwin 2078,LEMF,1250000000
298,MLBL,1402,Ashwin 2078,LEMF,1250000000
299,MLBSL,695,Ashwin 2078,LEMF,1250000000
300,MKLB,924,Ashwin 2078,LEMF,1250000000
301,MBL,40876,Ashwin 2078,LEMF,1250000000
302,MMFDB,1988,Ashwin 2078,LEMF,1250000000
303,MNBBL,456,Ashwin 2078,LEMF,1250000000
304,NABIL,24152,Ashwin 2078,LEMF,1250000000
305,NBF2,450000,Ashwin 2078,LEMF,1250000000
306,NLICL,46641,Ashwin 2078,LEMF,1250000000
307,NMFBS,905,Ashwin 2078,LEMF,1250000000
308,NBB,24998,Ashwin 2078,LEMF,1250000000
309,NBL,33414,Ashwin 2078,LEMF,1250000000
310,NCCB,5513,Ashwin 2078,LEMF,1250000000
311,NIL,18314,Ashwin 2078,LEMF,1250000000
312,NIFRA,238909,Ashwin 2078,LEMF,1250000000
313,NICL,19698,Ashwin 2078,LEMF,1250000000
314,NIBPO,57448,Ashwin 2078,LEMF,1250000000
315,NLIC,9825,Ashwin 2078,LEMF,1250000000
316,NRIC,14706,Ashwin 2078,LEMF,1250000000
317,NICA,16495,Ashwin 2078,LEMF,1250000000
318,NICLBSL,1266,Ashwin 2078,LEMF,1250000000
319,NLBBL,200,Ashwin 2078,LEMF,1250000000
320,NLG,19911,Ashwin 2078,LEMF,1250000000
321,NMBMF,1,Ashwin 2078,LEMF,1250000000
322,NMB,39533,Ashwin 2078,LEMF,1250000000
323,NRN,12000,Ashwin 2078,LEMF,1250000000
324,NTC,1000,Ashwin 2078,LEMF,1250000000
325,NUBL,15608,Ashwin 2078,LEMF,1250000000
326,PCBL,44251,Ashwin 2078,LEMF,1250000000
327,PRVU,42088,Ashwin 2078,LEMF,1250000000
328,PRIN,2006,Ashwin 2078,LEMF,1250000000
329,PLI,1918,Ashwin 2078,LEMF,1250000000
330,PIC,13717,Ashwin 2078,LEMF,1250000000
331,PICL,20091,Ashwin 2078,LEMF,1250000000
332,RLI,1182,Ashwin 2078,LEMF,1250000000
333,RMDC,6446,Ashwin 2078,LEMF,1250000000
334,SDLBSL,204,Ashwin 2078,LEMF,1250000000
335,SKBBL,5093,Ashwin 2078,LEMF,1250000000
336,SGI,959,Ashwin 2078,LEMF,1250000000
337,SLI,14087,Ashwin 2078,LEMF,1250000000
338,SANIMA,16498,Ashwin 2078,LEMF,1250000000
339,SBI,53721,Ashwin 2078,LEMF,1250000000
340,SBL,41930,Ashwin 2078,LEMF,1250000000
341,SCB,20786,Ashwin 2078,LEMF,1250000000
342,SICL,9414,Ashwin 2078,LEMF,1250000000
343,SIL,2818,Ashwin 2078,LEMF,1250000000
344,SLBBL,1420,Ashwin 2078,LEMF,1250000000
345,SRBL,45627,Ashwin 2078,LEMF,1250000000
346,SLICL,18110,Ashwin 2078,LEMF,1250000000
347,SWBBL,1048,Ashwin 2078,LEMF,1250000000
348,ULI,10134,Ashwin 2078,LEMF,1250000000
349,UMRH,1,Ashwin 2078,LEMF,1250000000
350,USLB,327,Ashwin 2078,LEMF,1250000000
351,ADBL,46434,Ashwin 2078,LUK,652623600
352,BOKL,54720,Ashwin 2078,LUK,652623600
353,BPCL,8349,Ashwin 2078,LUK,652623600
354,CBBL,8500,Ashwin 2078,LUK,652623600
355,CBL,31333,Ashwin 2078,LUK,652623600
356,CCBL,9990,Ashwin 2078,LUK,652623600
357,CHCL,13498,Ashwin 2078,LUK,652623600
358,CZBIL,37500,Ashwin 2078,LUK,652623600
359,EBL,17402,Ashwin 2078,LUK,652623600
360,FMDBL,8000,Ashwin 2078,LUK,652623600
361,GBBL,16000,Ashwin 2078,LUK,652623600
362,GBIME,22055,Ashwin 2078,LUK,652623600
363,GBLBS,11300,Ashwin 2078,LUK,652623600
364,GLICL,9569,Ashwin 2078,LUK,652623600
365,HGI,8567,Ashwin 2078,LUK,652623600
366,HDL,800,Ashwin 2078,LUK,652623600
367,JBLB,609,Ashwin 2078,LUK,652623600
368,KSBBL,1500,Ashwin 2078,LUK,652623600
369,KBL,29296,Ashwin 2078,LUK,652623600
370,LBBL,3110,Ashwin 2078,LUK,652623600
371,LGIL,9477,Ashwin 2078,LUK,652623600
372,MKLB,482,Ashwin 2078,LUK,652623600
373,MBL,5000,Ashwin 2078,LUK,652623600
374,MEGA,32559,Ashwin 2078,LUK,652623600
375,NABIL,15000,Ashwin 2078,LUK,652623600
376,NBF2,152800,Ashwin 2078,LUK,652623600
377,NEF,22722,Ashwin 2078,LUK,652623600
378,NLICL,21818,Ashwin 2078,LUK,652623600
379,NBB,35081,Ashwin 2078,LUK,652623600
380,NBL,52000,Ashwin 2078,LUK,652623600
381,NCCB,13825,Ashwin 2078,LUK,652623600
382,NIFRA,28456,Ashwin 2078,LUK,652623600
383,NICL,15433,Ashwin 2078,LUK,652623600
384,NIBPO,26122,Ashwin 2078,LUK,652623600
385,NLIC,1334,Ashwin 2078,LUK,652623600
386,NRIC,2605,Ashwin 2078,LUK,652623600
387,NICBF,399700,Ashwin 2078,LUK,652623600
388,NIBLSF,250000,Ashwin 2078,LUK,652623600
389,NICA,5017,Ashwin 2078,LUK,652623600
390,NLG,8712,Ashwin 2078,LUK,652623600
391,NMB50,46500,Ashwin 2078,LUK,652623600
392,NMB,43054,Ashwin 2078,LUK,652623600
393,NMBHF1,34810,Ashwin 2078,LUK,652623600
394,NRN,2190,Ashwin 2078,LUK,652623600
395,NUBL,9490,Ashwin 2078,LUK,652623600
396,PCBL,13380,Ashwin 2078,LUK,652623600
397,PRVU,20556,Ashwin 2078,LUK,652623600
398,PRIN,6011,Ashwin 2078,LUK,652623600
399,PIC,9200,Ashwin 2078,LUK,652623600
400,PICL,11931,Ashwin 2078,LUK,652623600
401,RMDC,8000,Ashwin 2078,LUK,652623600
402,SKBBL,870,Ashwin 2078,LUK,652623600
403,SLI,6470,Ashwin 2078,LUK,652623600
404,SANIMA,49166,Ashwin 2078,LUK,652623600
405,SBL,38472,Ashwin 2078,LUK,652623600
406,SCB,15876,Ashwin 2078,LUK,652623600
407,SHINE,23000,Ashwin 2078,LUK,652623600
408,SICL,7667,Ashwin 2078,LUK,652623600
