,Stock,Quantity,Month,MFundName,Fund Size
210,PIC,3586,Kartik 2078,GIMES1,1000000000
211,CGH,20735,Kartik 2078,GIMES1,1000000000
212,CMF1,2681420,Kartik 2078,GIMES1,1000000000
213,NEF,364934,Kartik 2078,GIMES1,1000000000
214,NICGF,221489,Kartik 2078,GIMES1,1000000000
215,LEMF,138300,Kartik 2078,GIMES1,1000000000
216,SFMF,2924076,Kartik 2078,GIMES1,1000000000
217,SAEF,252434,Kartik 2078,GIMES1,1000000000
218,SEF,1345136,Kartik 2078,GIMES1,1000000000
219,NIBSF1,91878,Kartik 2078,GIMES1,1000000000
220,NBF2,84005,Kartik 2078,GIMES1,1000000000
221,PSF,464000,Kartik 2078,GIMES1,1000000000
222,SIGS2,14700,Kartik 2078,GIMES1,1000000000
223,SLCF,500000,Kartik 2078,GIMES1,1000000000
224,NRIC,74047,Kartik 2078,GIMES1,1000000000
225,NTC,90143,Kartik 2078,GIMES1,1000000000
226,CIT,2350,Kartik 2078,GIMES1,1000000000
227,HIDCL,1,Kartik 2078,GIMES1,1000000000
228,HDL,23751,Kartik 2078,GIMES1,1000000000
229,SHIVM,35626,Kartik 2078,GIMES1,1000000000
230,SANIMA,7,Kartik 2078,KEF,1000000000
231,NICA,21139,Kartik 2078,KEF,1000000000
232,MBL,21850,Kartik 2078,KEF,1000000000
233,SBL,32516,Kartik 2078,KEF,1000000000
234,CZBIL,20092,Kartik 2078,KEF,1000000000
235,PRVU,24992,Kartik 2078,KEF,1000000000
236,NIBPO,46852,Kartik 2078,KEF,1000000000
237,NMB,15001,Kartik 2078,KEF,1000000000
238,LBL,54922,Kartik 2078,KEF,1000000000
239,ADBL,10000,Kartik 2078,KEF,1000000000
240,MNBBL,25000,Kartik 2078,KEF,1000000000
241,LBBL,5000,Kartik 2078,KEF,1000000000
242,NUBL,19082,Kartik 2078,KEF,1000000000
243,CBBL,7590,Kartik 2078,KEF,1000000000
244,FOWAD,11352,Kartik 2078,KEF,1000000000
245,LLBS,19977,Kartik 2078,KEF,1000000000
246,SWBBL,3815,Kartik 2078,KEF,1000000000
247,JBLB,2000,Kartik 2078,KEF,1000000000
248,MLBSL,2,Kartik 2078,KEF,1000000000
249,MLBS,1406,Kartik 2078,KEF,1000000000
250,NICLBSL,7788,Kartik 2078,KEF,1000000000
251,LICN,8182,Kartik 2078,KEF,1000000000
252,NLICL,24363,Kartik 2078,KEF,1000000000
253,SIC,11900,Kartik 2078,KEF,1000000000
254,NIL,15796,Kartik 2078,KEF,1000000000
255,NIBSF1,261600,Kartik 2078,KEF,1000000000
256,NICBF,542835,Kartik 2078,KEF,1000000000
257,PSF,500000,Kartik 2078,KEF,1000000000
258,NIBSF2,958500,Kartik 2078,KEF,1000000000
259,NMBHF1,195740,Kartik 2078,KEF,1000000000
260,NMB50,568600,Kartik 2078,KEF,1000000000
261,RMF1,1000000,Kartik 2078,KEF,1000000000
262,NICSF,1000000,Kartik 2078,KEF,1000000000
263,MMF1,436330,Kartik 2078,KEF,1000000000
264,SBCF,1226360,Kartik 2078,KEF,1000000000
265,NEF,119822,Kartik 2078,KEF,1000000000
266,BNT,410,Kartik 2078,KEF,1000000000
267,TPC,2857,Kartik 2078,KEF,1000000000
268,SAHAS,10000,Kartik 2078,KEF,1000000000
269,ADBL,38811,Kartik 2078,LEMF,1250000000
270,ALBSL,2387,Kartik 2078,LEMF,1250000000
271,BOKL,10848,Kartik 2078,LEMF,1250000000
272,BPCL,1,Kartik 2078,LEMF,1250000000
